,Tel,Price,Metrdist,N,lon,Bal,Kitsp,lat,Brick,Totsp,Walk,Dist,Livesp,Rooms,District,New,Nfloors,Floor
2144,1.0,4400000,15,2144,37.718588,,"3,4",55.879763,1.0,"23,3",0.0,1.2789578489114066,"15,5",1,0,0.0,5,1
2145,,4414000,5,2145,37.590693,,–,55.804072,1.0,"28,5",1.0,1.2789578489114066,15,1,0,,46,7
2146,,4443376,8,2146,37.597562,,"13,6",55.879981,1.0,"40,9",1.0,1.2789578489114066,"16,5",1,0,,20,13
2147,1.0,4446000,8,2147,37.597261,1.0,12,55.880065,1.0,"39,7",1.0,1.2789578489114066,"15,5",1,0,,20,4
2148,1.0,4475000,5,2148,37.690444,,"5,9",55.885999,,"32,6",0.0,1.2789578489114066,"18,9",1,0,0.0,9,1
2149,1.0,4500000,25,2149,37.667393,,"5,8",55.83525,,"30,1",1.0,1.2789578489114066,"18,4",1,0,0.0,5,1
2150,1.0,4500000,5,2150,37.669441,1.0,9,55.869142,1.0,38,1.0,1.2789578489114066,16,1,0,,17,15
2151,0.0,4500000,20,2151,37.639779,,10,55.888952,1.0,33,1.0,1.2789578489114066,20,1,0,0.0,6,4
2152,1.0,4500000,15,2152,37.715606,,"6,7",55.870587,0.0,"32,6",0.0,1.2789578489114066,"18,8",1,0,0.0,9,9
2153,,4530288,8,2153,37.597562,,"13,6",55.879981,1.0,"41,7",1.0,1.2789578489114066,"17,3",1,0,,20,18
2154,1.0,4550000,17,2154,37.647657,1.0,7,55.874981,0.0,33,1.0,1.2789578489114066,17,1,0,0.0,12,9
2155,1.0,4600000,10,2155,37.69401,,"6,6",55.87188,0.0,33,1.0,1.2789578489114066,"18,8",1,0,0.0,9,4
2156,,4600000,9,2156,37.590693,,–,55.804072,1.0,31,1.0,1.2789578489114066,18,1,0,,46,3
2157,1.0,5809480,10,2157,37.590693,0.0,6,55.804072,1.0,"31,1",1.0,1.2789578489114066,15,1,0,,46,3
2158,0.0,11350000,5,2158,37.643974,1.0,"7,5",55.806439,0.0,39,0.0,1.2789578489114066,19,1,0,0.0,17,12
2159,1.0,7888786,1,2159,37.637506,1.0,"9,8",55.848134,1.0,"40,1",1.0,1.2789578489114066,"17,3",1,0,,24,13
2160,,3127280,8,2160,37.597562,,–,55.879981,1.0,"24,8",1.0,1.2789578489114066,"17,4",1,0,,20,18
2161,1.0,3224000,8,2161,37.596489,1.0,6,55.879824,1.0,"24,8",1.0,1.2789578489114066,"11,4",1,0,0.0,20,17
2162,1.0,3450000,10,2162,37.548865,1.0,"7,1",55.925023,1.0,31,0.0,1.2789578489114066,"23,5",1,0,,8,6
2163,1.0,3550000,14,2163,37.717726,,4,55.878511,1.0,23,0.0,1.2789578489114066,"14,6",1,0,0.0,5,5
2164,1.0,3600000,20,2164,37.639779,0.0,–,55.888952,1.0,"28,7",1.0,1.2789578489114066,18,1,0,0.0,6,4
2165,0.0,3950000,24,2165,37.639779,0.0,–,55.888952,1.0,33,1.0,1.2789578489114066,27,1,0,0.0,7,7
2166,,4061875,8,2166,37.597562,,"9,9",55.879981,1.0,"33,5",1.0,1.2789578489114066,"13,9",1,0,,20,20
2167,0.0,4200000,,2167,37.550217,1.0,"12,5",55.9203,,"40,1",,1.2789578489114066,17,1,0,0.0,9,4
2168,,4331000,8,2168,37.597261,1.0,10,55.880065,1.0,"35,5",1.0,1.2789578489114066,14,1,0,,17,4
2169,1.0,4350000,,2169,37.716576,,"7,5",55.873753,0.0,"35,2",,1.2789578489114066,"19,5",1,0,,4,1
2170,1.0,4400000,20,2170,37.715606,,6,55.870587,,33,0.0,1.2789578489114066,19,1,0,0.0,9,8
2171,1.0,4400000,9,2171,37.623784,1.0,9,55.850472,1.0,32,0.0,1.2789578489114066,17,1,0,,18,11
2172,1.0,4400000,15,2172,37.718588,,"3,4",55.879763,1.0,"23,3",0.0,1.2789578489114066,"15,5",1,0,0.0,5,1
2173,,4414000,5,2173,37.590693,,–,55.804072,1.0,"28,5",1.0,1.2789578489114066,15,1,0,,46,7
2174,,4443376,8,2174,37.597562,,"13,6",55.879981,1.0,"40,9",1.0,1.2789578489114066,"16,5",1,0,,20,13
2175,1.0,4446000,8,2175,37.597261,1.0,12,55.880065,1.0,"39,7",1.0,1.2789578489114066,"15,5",1,0,,20,4
2176,1.0,4475000,5,2176,37.690444,,"5,9",55.885999,,"32,6",0.0,1.2789578489114066,"18,9",1,0,0.0,9,1
2177,1.0,4500000,25,2177,37.667393,,"5,8",55.83525,,"30,1",1.0,1.2789578489114066,"18,4",1,0,0.0,5,1
2178,1.0,4500000,5,2178,37.669441,1.0,9,55.869142,1.0,38,1.0,1.2789578489114066,16,1,0,,17,15
2179,0.0,4500000,20,2179,37.639779,,10,55.888952,1.0,33,1.0,1.2789578489114066,20,1,0,0.0,6,4
2180,1.0,4500000,15,2180,37.715606,,"6,7",55.870587,0.0,"32,6",0.0,1.2789578489114066,"18,8",1,0,0.0,9,9
2181,,4530288,8,2181,37.597562,,"13,6",55.879981,1.0,"41,7",1.0,1.2789578489114066,"17,3",1,0,,20,18
2182,1.0,4550000,17,2182,37.647657,1.0,7,55.874981,0.0,33,1.0,1.2789578489114066,17,1,0,0.0,12,9
2183,1.0,4600000,10,2183,37.69401,,"6,6",55.87188,0.0,33,1.0,1.2789578489114066,"18,8",1,0,0.0,9,4
2184,,4600000,9,2184,37.590693,,–,55.804072,1.0,31,1.0,1.2789578489114066,18,1,0,,46,3
2185,1.0,11217600,15,2185,37.68491,1.0,"12,2",55.872238,1.0,"65,6",1.0,1.2789578489114066,"33,6",2,0,,12,2
2186,0.0,5100000,17,2186,37.677643,,6,55.877693,1.0,"28,3",1.0,1.2789578489114066,"15,4",1,0,0.0,5,1
2187,1.0,6900000,12,2187,37.620384,1.0,"8,5",55.863626,0.0,"37,6",1.0,1.2789578489114066,19,1,0,0.0,17,9
2188,,3127280,8,2188,37.597562,,–,55.879981,1.0,"24,8",1.0,1.2789578489114066,"17,4",1,0,,20,18
2189,1.0,3224000,8,2189,37.596489,1.0,6,55.879824,1.0,"24,8",1.0,1.2789578489114066,"11,4",1,0,0.0,20,17
2190,1.0,3450000,10,2190,37.548865,1.0,"7,1",55.925023,1.0,31,0.0,1.2789578489114066,"23,5",1,0,,8,6
2191,1.0,3550000,14,2191,37.717726,,4,55.878511,1.0,23,0.0,1.2789578489114066,"14,6",1,0,0.0,5,5
2192,1.0,3600000,20,2192,37.639779,0.0,–,55.888952,1.0,"28,7",1.0,1.2789578489114066,18,1,0,0.0,6,4
2193,0.0,3950000,24,2193,37.639779,0.0,–,55.888952,1.0,33,1.0,1.2789578489114066,27,1,0,0.0,7,7
2194,,4061875,8,2194,37.597562,,"9,9",55.879981,1.0,"33,5",1.0,1.2789578489114066,"13,9",1,0,,20,20
2195,0.0,4200000,,2195,37.550217,1.0,"12,5",55.9203,,"40,1",,1.2789578489114066,17,1,0,0.0,9,4
2196,,4331000,8,2196,37.597261,1.0,10,55.880065,1.0,"35,5",1.0,1.2789578489114066,14,1,0,,17,4
2197,1.0,4350000,,2197,37.716576,,"7,5",55.873753,0.0,"35,2",,1.2789578489114066,"19,5",1,0,,4,1
2198,1.0,4400000,20,2198,37.715606,,6,55.870587,,33,0.0,1.2789578489114066,19,1,0,0.0,9,8
2199,1.0,4400000,9,2199,37.623784,1.0,9,55.850472,1.0,32,0.0,1.2789578489114066,17,1,0,,18,11
2200,1.0,4400000,15,2200,37.718588,,"3,4",55.879763,1.0,"23,3",0.0,1.2789578489114066,"15,5",1,0,0.0,5,1
2201,,4414000,5,2201,37.590693,,–,55.804072,1.0,"28,5",1.0,1.2789578489114066,15,1,0,,46,7
2202,,4443376,8,2202,37.597562,,"13,6",55.879981,1.0,"40,9",1.0,1.2789578489114066,"16,5",1,0,,20,13
2203,1.0,4446000,8,2203,37.597261,1.0,12,55.880065,1.0,"39,7",1.0,1.2789578489114066,"15,5",1,0,,20,4
2204,1.0,4475000,5,2204,37.690444,,"5,9",55.885999,,"32,6",0.0,1.2789578489114066,"18,9",1,0,0.0,9,1
2205,1.0,4500000,25,2205,37.667393,,"5,8",55.83525,,"30,1",1.0,1.2789578489114066,"18,4",1,0,0.0,5,1
2206,1.0,4500000,5,2206,37.669441,1.0,9,55.869142,1.0,38,1.0,1.2789578489114066,16,1,0,,17,15
2207,0.0,4500000,20,2207,37.639779,,10,55.888952,1.0,33,1.0,1.2789578489114066,20,1,0,0.0,6,4
2208,1.0,4500000,15,2208,37.715606,,"6,7",55.870587,0.0,"32,6",0.0,1.2789578489114066,"18,8",1,0,0.0,9,9
2209,,4530288,8,2209,37.597562,,"13,6",55.879981,1.0,"41,7",1.0,1.2789578489114066,"17,3",1,0,,20,18
2210,1.0,4550000,17,2210,37.647657,1.0,7,55.874981,0.0,33,1.0,1.2789578489114066,17,1,0,0.0,12,9
2211,1.0,4600000,10,2211,37.69401,,"6,6",55.87188,0.0,33,1.0,1.2789578489114066,"18,8",1,0,0.0,9,4
2212,,4600000,9,2212,37.590693,,–,55.804072,1.0,31,1.0,1.2789578489114066,18,1,0,,46,3
2213,0.0,12300000,5,2213,37.658176,1.0,12,55.882414,1.0,64,1.0,1.2789578489114066,35,2,0,0.0,25,23
2214,,4717500,8,2214,37.597562,1.0,"10,5",55.879981,1.0,"42,5",1.0,1.2789578489114066,"16,9",1,0,,20,16
2215,1.0,6900000,12,2215,37.620384,1.0,"8,5",55.863626,0.0,"37,6",1.0,1.2789578489114066,19,1,0,0.0,17,9
2216,,3127280,8,2216,37.597562,,–,55.879981,1.0,"24,8",1.0,1.2789578489114066,"17,4",1,0,,20,18
2217,1.0,3224000,8,2217,37.596489,1.0,6,55.879824,1.0,"24,8",1.0,1.2789578489114066,"11,4",1,0,0.0,20,17
2218,1.0,3450000,10,2218,37.548865,1.0,"7,1",55.925023,1.0,31,0.0,1.2789578489114066,"23,5",1,0,,8,6
2219,1.0,3550000,14,2219,37.717726,,4,55.878511,1.0,23,0.0,1.2789578489114066,"14,6",1,0,0.0,5,5
2220,1.0,3600000,20,2220,37.639779,0.0,–,55.888952,1.0,"28,7",1.0,1.2789578489114066,18,1,0,0.0,6,4
